subject,relation,object,evidence,doc_id,chunk_id
Vinschool,SUBSIDIARY_OF,Vingroup,Vinschool is a subsidiary of Vingroup.,3,doc3_chunk005
VinFast,DEVELOPED,Electric Vehicles,VinFast has developed electric vehicles.,3,doc3_chunk005
Vingroup,PARTNERED_WITH,University of Pennsylvania,Vingroup has partnered with the University of Pennsylvania.,3,doc3_chunk005
ADB,INVESTED_IN,Vinschool,ADB invested in Vinschool.,3,doc3_chunk005
VinFast,LOCATED_IN,North America,VinFast officially begins operations in North America.,3,doc3_chunk005
Vingroup,FOUNDED_BY,Phạm Nhật Vượng,Vingroup was founded by Phạm Nhật Vượng.,3,doc3_chunk006
VinUni,LOCATED_IN,Vietnam,VinUni calls for admission for the first academic year 2020-2021.,3,doc3_chunk006
Vingroup,DEVELOPED,VinID,Siêu ứng dụng thông minh cho người Việt - VinID.,3,doc3_chunk006
Vingroup,ACQUIRED,Masan Consumer,VinCommerce and VinEco of Vingroup will be merged with Masan Consumer.,3,doc3_chunk006
SK Group,INVESTED_IN,VinCommerce,SK Group acquires stake in VinCommerce for $410m.,3,doc3_chunk006
Vingroup,OWNED_BY,Phạm Nhật Vượng,Vingroup is owned by Phạm Nhật Vượng.,3,doc3_chunk006
Vingroup,HEADQUARTERED_IN,Hanoi,Vingroup is headquartered in Hanoi.,3,doc3_chunk006
VinAI,DEVELOPED,"Intelligence for Tomorrow, Today","VinAI - Intelligence for Tomorrow, Today.",3,doc3_chunk006
Vingroup,ANNOUNCED,Culture as a new core pillar,Vingroup announces culture as a new core pillar to develop world-class artistic spaces.,3,doc3_chunk006
Google,FOUNDED_BY,Larry Page,Google was founded in 1998 by American computer scientists Larry Page and Sergey Brin.,4,doc4_chunk000
Google,FOUNDED_BY,Sergey Brin,Google was founded in 1998 by American computer scientists Larry Page and Sergey Brin.,4,doc4_chunk000
Google,HEADQUARTERED_IN,United States,American multinational technology corporation.,4,doc4_chunk000
Google,ACQUIRED,YouTube,video sharing ( YouTube ),4,doc4_chunk000
Google,ACQUIRED,Fitbit,wearable technology ( Pixel Watch and Fitbit ),4,doc4_chunk000
Google,CEO_OF,Sundar Pichai,Sundar Pichai was appointed CEO of Google in 2015.,4,doc4_chunk000
Google,SUBSIDIARY_OF,Alphabet Inc,Google was reorganized as a wholly owned subsidiary of Alphabet Inc.,4,doc4_chunk000
Alphabet Inc,OWNED_BY,Larry Page,"Together, they own about 14% of its publicly listed shares.",4,doc4_chunk000
Alphabet Inc,OWNED_BY,Sergey Brin,"Together, they own about 14% of its publicly listed shares.",4,doc4_chunk000
Google,LOCATED_IN,California,American multinational technology corporation.,4,doc4_chunk000
Google,DEVELOPED,Google Assistant,AI ( Google Assistant and Gemini ),4,doc4_chunk000
Google,DEVELOPED,TensorFlow,machine learning APIs ( TensorFlow ),4,doc4_chunk000
Google,FOUNDED_BY,Larry Page and Sergey Brin,Google began in January 1996 as a research project by Larry Page and Sergey Brin,4,doc4_chunk001
Google,HEADQUARTERED_IN,"California, United States","while they were both PhD students at Stanford University in California, United States",4,doc4_chunk001
Google,DEVELOPED,PageRank,They called this algorithm PageRank,4,doc4_chunk001
Google,INVESTED_IN,Waymo,self-driving cars (Waymo),4,doc4_chunk001
Google,OWNED_BY,Alphabet Inc,History of Google and List of mergers and acquisitions by Alphabet,4,doc4_chunk001
Google,PARTNERED_WITH,Stanford University,while they were both PhD students at Stanford University,4,doc4_chunk001
Google,CEO_OF,Eric Schmidt,Then chairman and CEO Eric Schmidt,4,doc4_chunk001
Google,LOCATED_IN,Silicon Valley,Susan Wojcicki's garage as their office,4,doc4_chunk001
Google,ACQUIRED,Granite Systems,"David Cheriton had a nearby office in Stanford, and they knew he had startup experience, having recently sold the company he co-founded, Granite Systems, to Cisco for $220 million.",4,doc4_chunk002
Google,INVESTED_IN,Andy Bechtolsheim,"Google was initially funded by an August 1998 investment of $100,000 from Andy Bechtolsheim.",4,doc4_chunk002
Google,INVESTED_IN,David Cheriton,"David Cheriton later also joined in with around $200,000 investment.",4,doc4_chunk002
Google,LOCATED_IN,Palo Alto,The meeting was set for 8 a.m. at the front porch of David's home in Palo Alto.,4,doc4_chunk002
Baidu,FOUNDED_BY,Robin Li,Li later went on to create the Chinese search engine Baidu.,4,doc4_chunk002
PageRank,DEVELOPED,Larry Page,"Rajeev Motwani and Terry Winograd later co-authored with Page and Brin the first paper about the project, describing PageRank.",4,doc4_chunk002
Google,HEADQUARTERED_IN,California,Google was initially funded by an August 1998 investment.,4,doc4_chunk002
Google,PARTNERED_WITH,Susan Wojcicki,Page and Brin would also use their friend Susan Wojcicki's garage as their office.,4,doc4_chunk002
Google,INVESTED_IN,Jeff Bezos,"Google received money from two other angel investors in 1998, including Amazon founder Jeff Bezos",4,doc4_chunk003
Google,INVESTED_IN,Ram Shriram,"Shriram invested $250,000 in Google in February 1998.",4,doc4_chunk003
Google,LOCATED_IN,"Menlo Park, California","Google raised around $1,000,000, which is what allowed them to open up their original shop in Menlo Park, California.",4,doc4_chunk003
Google,CEO_OF,Larry Page,Page and Brin insisted on taking investments from both.,4,doc4_chunk003
Google,ACQUIRED,Yahoo,"In 1998, Page and Brin proposed to sell Google to Yahoo for $1 million, but Yahoo refused.",4,doc4_chunk003
Yahoo,CEO_OF,Terry Semel,"Terry Semel, Yahoo's then-CEO, offered $3 billion to purchase the company.",4,doc4_chunk003
Google,PARTNERED_WITH,Kleiner Perkins,"a new $25 million round of funding was announced on June 7, 1999, with major investors including the venture capital firms Kleiner Perkins and Sequoia Capital.",4,doc4_chunk003
Google,PARTNERED_WITH,Sequoia Capital,"a new $25 million round of funding was announced on June 7, 1999, with major investors including the venture capital firms Kleiner Perkins and Sequoia Capital.",4,doc4_chunk003
Google,LOCATED_IN,"Palo Alto, California","In March 1999, the company moved its offices to Palo Alto, California.",4,doc4_chunk003
Yahoo,ACQUIRED,Google,A more significant opportunity for Yahoo to acquire Google came in 2002.,4,doc4_chunk004
Terry Semel,CEO_OF,Yahoo,"Terry Semel, Yahoo's then-CEO, offered $3 billion to purchase the company.",4,doc4_chunk004
Google,VALUED_AT,5 billion,Page and Brin reportedly held firm on a $5 billion valuation.,4,doc4_chunk004
Google,HEADQUARTERED_IN,"Palo Alto, California","In March 1999, the company moved its offices to Palo Alto, California.",4,doc4_chunk004
Google,DEVELOPED,advertising-funded search engine,"the next year, Google began selling advertisements associated with search keywords.",4,doc4_chunk004
Google,PARTNERED_WITH,Yahoo,"In June 2000, it was announced that Google would become the default search engine provider for Yahoo.",4,doc4_chunk004
Eric Schmidt,CEO_OF,Google,they agreed to hire Eric Schmidt as the chairman and CEO of Google.,4,doc4_chunk004
John Doerr,INVESTED_IN,Google,Schmidt was proposed by John Doerr from Kleiner Perkins.,4,doc4_chunk004
Google,OWNED_BY,Sequoia Capital,Michael Moritz from Sequoia Capital at one point even menaced requesting Google to immediately pay back Sequoia's $12.5m investment.,4,doc4_chunk004
Google,LOCATED_IN,"Mountain View, California","the company leased an office complex from Silicon Graphics, at 1600 Amphitheatre Parkway in Mountain View, California.",4,doc4_chunk004
Google,OWNED_BY,Silicon Graphics,"Three years later, Google bought the property from SGI for $319 million.",4,doc4_chunk004
Google,ADDED_TO,Merriam-Webster Collegiate Dictionary,the verb 'google' to be added to the Merriam-Webster Collegiate Dictionary.,4,doc4_chunk004
Google,ACQUIRED,DoubleClick,"On March 11, 2008, Google acquired DoubleClick for $3.1 billion.",4,doc4_chunk005
Google,ACQUIRED,Motorola Mobility,"In May 2012, Google acquired Motorola Mobility for $12.5 billion.",4,doc4_chunk005
Google,ACQUIRED,Waze,"In June 2013, Google acquired Waze for $966 million.",4,doc4_chunk005
Google,LOCATED_IN,"6 Pancras Square, London","Entrance of building where Google and its subsidiary DeepMind are located at 6 Pancras Square, London.",4,doc4_chunk005
Google,HEADQUARTERED_IN,"Mountain View, California",Not explicitly mentioned in the text but known fact.,4,doc4_chunk005
Google,PARTNERED_WITH,Morgan Stanley,Shares were sold in an online auction format using a system built by Morgan Stanley and Credit Suisse.,4,doc4_chunk005
Google,PARTNERED_WITH,Credit Suisse,Shares were sold in an online auction format using a system built by Morgan Stanley and Credit Suisse.,4,doc4_chunk005
Google,LAUNCHED,Calico,"Google announced the launch of a new company, called Calico, on September 19, 2013.",4,doc4_chunk006
Calico,LED_BY,Arthur Levinson,to be led by Apple Inc. chairman Arthur Levinson.,4,doc4_chunk006
Google,ACQUIRED,DeepMind Technologies,"On January 26, 2014, Google announced it had agreed to acquire DeepMind Technologies.",4,doc4_chunk006
DeepMind Technologies,LOCATED_IN,London,a privately held AI company from London.,4,doc4_chunk006
DeepMind,DEVELOPED,AlphaGo,"In 2015, DeepMind's AlphaGo became the first computer program to defeat a top human pro at the game of Go.",4,doc4_chunk006
Google,PARTNERED_WITH,Alphabet Inc,Google became Alphabet's largest subsidiary and the umbrella company for Alphabet's Internet interests.,4,doc4_chunk006
Google,FIRED,James Damore,"On August 8, 2017, Google fired employee James Damore.",4,doc4_chunk006
Google,INVESTED_IN,Project Maven,which had been seen as areas of revenue growth for the company.,4,doc4_chunk006
Google,PROTECTED,Andy Rubin,"On October 25, 2018, The New York Times published the exposé, 'How Google Protected Andy Rubin, the 'Father of Android'.",4,doc4_chunk006
Google,FIRED,48 employees,the company subsequently announced that '48 employees have been fired.,4,doc4_chunk006
Google,DEVELOPED,Google Stadia,"On March 19, 2019, Google announced that it would enter the video game market, launching a cloud gaming platform called Google Stadia.",4,doc4_chunk007
Google,INVESTED_IN,Ubisoft,"In March 2021, Google reportedly paid $20 million for Ubisoft ports on Google Stadia.",4,doc4_chunk007
Google,ACQUIRED,Project Maven,"staff protested company decisions on internal sexual harassment, Dragonfly, a censored Chinese search engine, and Project Maven.",4,doc4_chunk007
Google,PARTNERED_WITH,Take-Two,Google spent 'tens of millions of dollars' on getting major publishers such as Ubisoft and Take-Two to bring some of.,4,doc4_chunk007
Google,HEADQUARTERED_IN,Mountain View,The company subsequently announced that '48 employees have been fired over the last two years' for sexual misconduct.,4,doc4_chunk007
Google,ACQUIRED,Dragonfly,"staff protested company decisions on internal sexual harassment, Dragonfly, a censored Chinese search engine.",4,doc4_chunk007
Google,LOCATED_IN,Australia,"In January 2021, the Australian Government proposed legislation that would require Google and Facebook to pay media companies for the right to use their content.",4,doc4_chunk007
Google,ACQUIRED,Bill Ready,"In December 2019, former PayPal chief operating officer Bill Ready became Google's new commerce chief.",4,doc4_chunk007
Viettel Group,HEADQUARTERED_IN,Hanoi,"Viettel Group ... is a Vietnamese state-owned multinational telecommunications ... headquartered in Hanoi, Vietnam.",5,doc5_chunk000
Viettel Group,OWNED_BY,Vietnam Ministry of National Defence,The enterprise is under the direct administration of the Vietnam Ministry of National Defence.,5,doc5_chunk000
Viettel Telecom,PARTNERED_WITH,Vietnam People's Army,"Viettel's subsidiaries ... have been involved in developing, producing and supplying the Vietnam People's Army with many indigenous products.",5,doc5_chunk000
Viettel Group,FOUNDED_BY,SIGELCO,"Electronics and Communication Equipment Corporation (SIGELCO), the forerunner of Viettel Group (Viettel), was established on 1 June 1989.",5,doc5_chunk000
Viettel,DEVELOPED,military communication devices,"Viettel ... have been involved in developing, producing and supplying ... military communication devices.",5,doc5_chunk000
Viettel,DEVELOPED,military drones,"Viettel ... have been involved in developing, producing and supplying ... military drones.",5,doc5_chunk000
Viettel,DEVELOPED,surveillance radars,"Viettel ... have been involved in developing, producing and supplying ... surveillance radars.",5,doc5_chunk000
Viettel,DEVELOPED,missiles,"Viettel ... have been involved in developing, producing and supplying ... missiles.",5,doc5_chunk000
Viettel,LOCATED_IN,Vietnam,Viettel is one of the largest state-owned enterprises of Vietnam.,5,doc5_chunk000
Viettel,EMPLOYS,"50,000 employees","As of 2018, Viettel had 50,000 employees inside and outside the country.",5,doc5_chunk000
Viettel,SERVES,110 million subscribers,"As of 2018, ... served 110 million subscribers.",5,doc5_chunk000
Viettel,SPENT_ON,CSR activities,"Viettel has spent VND 3,500 billion in CSR activities.",5,doc5_chunk000
VIETEL,FOUNDED_BY,Military Electronics and Telecommunications Company,"change the company's name to Military Electronics and Telecommunications Company, VIETEL in short.",5,doc5_chunk001
VIETEL,LOCATED_IN,Vietnam,the second firm to get a business license for all telecommunications services in Vietnam.,5,doc5_chunk001
Vietel Post,FOUNDED_BY,VIETEL,"On 1 July 1997, Vietel Post was established.",5,doc5_chunk001
VIETEL,DEVELOPED,VoIP technology,allowed Vietel to pilot long-distance call services using VoIP technology.,5,doc5_chunk001
VIETEL,LAUNCHED,VoIP service,"On 15 October 2000, Vietel officially piloted its VoIP service.",5,doc5_chunk001
VIETEL,LAUNCHED,international call service,"On 5 December 2001, Vietel launched the international call service using VoIP technology.",5,doc5_chunk001
VIETEL,LAUNCHED,Internet service,"One year later, they launched the Internet service.",5,doc5_chunk001
Military Telecommunications Company,RENAME_TO,VIETEL,"the Ministry of National Defense (MOD) changed the company's name to Military Telecommunications Company, Viettel in short.",5,doc5_chunk001
VIETEL,SUBSIDIARY_OF,MOD,MOD moved Viettel from under the management of the Signal Corps to the MOD.,5,doc5_chunk001
VIETEL,LAUNCHED,098 mobile service,"On 15 October 2004, Vietel launched 098 mobile service.",5,doc5_chunk001
Viettel Cambodia,OWNED_BY,VIETEL,"In 2006, Viettel established Viettel Cambodia.",5,doc5_chunk001
Star Telecom,PARTNERED_WITH,Lao Asia Telecom,Star Telecom (a partnership between Viettel and Lao Asia Telecom) in Laos went into operation.,5,doc5_chunk001
Viettel,FOUNDED_BY,Military Telecommunications Corporation,"On 14 December 2009, Military Telecommunications Corporation became Military Telecommunications Group under the management of the MOD.",5,doc5_chunk002
Viettel,ACQUIRED,EVN Telecom,"On 5 December 2011, Viettel acquired original EVN Telecom.",5,doc5_chunk002
Viettel,DEVELOPED,Sumo 2G V6206 mobile phones,"At the beginning of October, the first batch of Sumo 2G V6206 mobile phones made by Viettel was officially introduced onto the market.",5,doc5_chunk002
Viettel,LAUNCHED,Movitel mobile network,"On 15 May 2012, Viettel launched Movitel mobile network in Mozambique.",5,doc5_chunk002
Viettel,PARTNERED_WITH,Lao Asia Telecom,Viettel Cambodia in Cambodia and Star Telecom (a partnership between Viettel and Lao Asia Telecom) in Laos went into operation.,5,doc5_chunk002
Viettel,LOCATED_IN,Cambodia,Viettel Cambodia in Cambodia and Star Telecom (a partnership between Viettel and Lao Asia Telecom) in Laos went into operation.,5,doc5_chunk002
Viettel,LOCATED_IN,Laos,Viettel Cambodia in Cambodia and Star Telecom (a partnership between Viettel and Lao Asia Telecom) in Laos went into operation.,5,doc5_chunk002
Viettel,LAUNCHED,Natcom telecommunications brand,"On 8 September 2011, Viettel launched Natcom telecommunications brand in Haiti.",5,doc5_chunk002
Viettel,OWNED_BY,Haiti,Natcom was also the only telco that owned the unique international Internet port in Haiti.,5,doc5_chunk002
Viettel,LAUNCHED,Telemor network,"In March 2013, Telemor network was launched in Timor Leste.",5,doc5_chunk002
Viettel,LOCATED_IN,Timor Leste,"In March 2013, Telemor network was launched in Timor Leste.",5,doc5_chunk002
Viettel,LAUNCHED,Nexttel,"In 2014, Nexttel in Cameroon and Bitel in Peru went into business.",5,doc5_chunk002
Viettel,FOUNDED_BY,Military Telecommunications Group,"On 5 January 2018, Military Telecommunications Group changed their name to Military Industry – Telecommunication Group.",5,doc5_chunk003
Viettel,DEVELOPED,VT-Patrol,A short-range UAV known as the VT-Patrol was made before the end of 2013.,5,doc5_chunk003
Viettel,ACQUIRED,Nexttel,"In 2014, Nexttel in Cameroon and Bitel in Peru went into business.",5,doc5_chunk003
Viettel,ACQUIRED,Bitel,"In 2014, Nexttel in Cameroon and Bitel in Peru went into business.",5,doc5_chunk003
Viettel,LAUNCHED,Lumitel,"In March and October, 2015, Viettel launched Lumitel network in Burundi.",5,doc5_chunk003
Viettel,LAUNCHED,Halotel,"In March and October, 2015, Viettel launched Halotel in Tanzania.",5,doc5_chunk003
Viettel,LAUNCHED,4G telecommunications network,"On 18 April 2017, Viettel launched 4G telecommunications network in Vietnam.",5,doc5_chunk003
Viettel,RECOGNIZED_AS,Defense and Security Enterprise,"On 19 July 2017, Viettel was officially recognized by the Government as a Defense and Security Enterprise.",5,doc5_chunk003
Viettel,LAUNCHED,Viettel StartCloud,"In March 2018, Viettel introduced their virtual server service entitled Viettel StartCloud.",5,doc5_chunk003
Viettel,LAUNCHED,Mytel,"In June, 2018, the 10th international brand of Viettel was launched in Myanmar under the brand name of Mytel.",5,doc5_chunk003
Viettel,DEPLOYED,NB-IoT based infrastructure,"At the beginning of December 2018, Viettel successfully activated the NB-IoT based infrastructure.",5,doc5_chunk003
Viettel,FOUNDED_BY,Vietnamese Government,"Viettel is a global technology and business group, leading the telecommunication and high-technology markets in Vietnam.",5,doc5_chunk004
Viettel,DEVELOPED,NB-IoT infrastructure,Viettel successfully activated the NB-IoT based infrastructure with the first 30 BTS in Hanoi.,5,doc5_chunk004
Viettel,LAUNCHED,Viettel Business Solutions Corporation,"In the first half of 2019, Viettel launched many corporations and companies which are strategic in their 4th stage.",5,doc5_chunk004
Viettel,LAUNCHED,MyGo application,"In July 2019, Viettel entered technological ride-hailing market with MyGo application.",5,doc5_chunk004
Viettel,LAUNCHED,e-Cabinet platform,"At the end of June 2019, e-Cabinet platform was launched after more than three months of preparation.",5,doc5_chunk004
Viettel,PARTNERED_WITH,Ericsson Group,"On 10 May 2019, Viettel and Ericsson Group made the first official connection on 5G network in Vietnam.",5,doc5_chunk004
Viettel,CEO_OF,Le Dang Dung,"Mr. Le Dang Dung, Viettel's Acting President and Chief Executive Officer, committed their efforts in developing a digital society.",5,doc5_chunk004
Viettel,PARTNERED_WITH,Vietnam Digital Transformation Alliance,"At Vietnam ICT Summit 2019, Viettel and large IT enterprises in Vietnam established the Vietnam Digital Transformation Alliance.",5,doc5_chunk004
Ho Chi Minh City,LOCATED_IN,Vietnam,Ho Chi Minh City became the first city in the country to have seamless 5G and IoT coverage.,5,doc5_chunk004
Viettel,ACQUIRED,5G technology,Viettel is the only Vietnamese enterprise to rank among the first 50 network operators to successfully deploy 5G technology in the world.,5,doc5_chunk004
Viettel,HEADQUARTERED_IN,Ho Chi Minh City,"coverage across Ward 12, District 10. Ho Chi Minh City became the first city in the country to have seamless 5G and IoT coverage.",5,doc5_chunk005
Viettel,DEVELOPED,VRS-MRS 3D air-defence radar,The VRS-MRS 3D air-defence radar developed by Viettel.,5,doc5_chunk005
Viettel,INTRODUCED,5G DFE chip,"On 27 October 2023, Viettel introduced its first domestically-developed 5G DFE chip.",5,doc5_chunk005
Viettel,OWNED_BY,Viettel Group,Member companies List of subsidiaries of Viettel Group.,5,doc5_chunk005
Viettel,INVESTED_IN,Laos,Viettel has developed telecommunication services in Laos.,5,doc5_chunk005
Viettel,INVESTED_IN,Cambodia,Viettel has developed telecommunication services in Cambodia.,5,doc5_chunk005
Viettel,INVESTED_IN,Haiti,Viettel has developed telecommunication services in Haiti.,5,doc5_chunk005
Viettel,INVESTED_IN,Mozambique,Viettel has developed telecommunication services in Mozambique.,5,doc5_chunk005
Viettel,INVESTED_IN,Peru,Viettel has developed telecommunication services in Peru.,5,doc5_chunk005
Viettel,INVESTED_IN,Tanzania,Viettel has developed telecommunication services in Tanzania.,5,doc5_chunk005
Viettel,INVESTED_IN,Timor-Leste,Viettel has developed telecommunication services in Timor-Leste.,5,doc5_chunk005
Viettel,INVESTED_IN,Cameroon,Viettel has developed telecommunication services in Cameroon.,5,doc5_chunk005
Viettel Global Investment JSC,OWNED_BY,Viettel Group,Viettel Global Investment JSC (Viettel Global) handles all the countries foreign investments.,5,doc5_chunk006
Viettel,DEVELOPED,telecommunication services,"Viettel has successfully developed telecommunication services in three continents, Asia, Africa and the Americas.",5,doc5_chunk006
Viettel,RECORDED,1.2 billion revenue from foreign operations,recorded a $1.2 billion revenue from foreign operations in 2014.,5,doc5_chunk006
Viettel,FOUNDED_BY,Vietnamese company,The company became the first Vietnamese company to provide as one of the official telecommunication services for the Peru national football team during the 2018 FIFA World Cup.,5,doc5_chunk006
Viettel,HEADQUARTERED_IN,Hanoi,"Viettel's headquarters is located at Lot D26, Lane 3, Ton That Thuyet Street, Yen Hoa Ward, Cau Giay District, Hanoi.",5,doc5_chunk006
Mytel,SUBSIDIARY_OF,Viettel,"Mytel, a joint-venture that owned by Viettel and the Tatmadaw.",5,doc5_chunk006
M1 Group,PARTNERED_WITH,Viettel,"Viettel has also been embroiled, indirectly, for having business ties with the Lebanese diversified investment holdings company M1 Group.",5,doc5_chunk006
Bui Quang Huy,CEO_OF,Viettel Group,"Bui Quang Huy, a representative of the Viettel Group in the United States.",5,doc5_chunk006
Viettel,INVESTED_IN,Myanmar,Viettel actively does business and assists the State Administration Council in cracking down protesters throughout Mytel.,5,doc5_chunk006
Viettel,ACQUIRED,missile tracking equipment,negotiated with the company EO Imaging to purchase missile tracking equipment using video technology.,5,doc5_chunk006
Viettel,LOCATED_IN,Cau Giay District,"Viettel's headquarters is located at Lot D26, Lane 3, Ton That Thuyet Street, Yen Hoa Ward, Cau Giay District, Hanoi.",5,doc5_chunk006
Viettel,PROVIDES,telecommunications services,Viettel currently provides the following services and products: Products and services in telecommunications.,5,doc5_chunk006
Viettel,PROVIDES,financial services,"Financial services, payment services, payment intermediaries, monetary intermediaries.",5,doc5_chunk006
Viettel,ACQUIRED,Telenor Myanmar,has also bought Telenor 's Myanmar after the Norwegian company exited due to instabilities.,5,doc5_chunk007
Bui Quang Huy,REPRESENTATIVE_OF,Viettel Group,"Bui Quang Huy, a representative of the Viettel Group in the United States",5,doc5_chunk007
Bui Quang Huy,CONTACTED,Sandia Technical Supply LLC,"On March 10, 2016, Bui Quang Huy proactively contacted a US company called Sandia Technical Supply LLC",5,doc5_chunk007
Viettel,INVESTED_IN,missile tracking equipment,negotiated with the company EO Imaging to purchase missile tracking equipment using video technology.,5,doc5_chunk007
Bui Quang Huy,PURCHASED,vibration damping system,"In August 2015, Bui Quang Huy bought a vibration damping system for the rocket camera.",5,doc5_chunk007
Bui Quang Huy,ARRESTED_BY,US police,"On October 26, 2016, Bui Quang Huy was arrested by US police",5,doc5_chunk007
Bui Quang Huy,PLEADED_GUILTY_TO,illegal smuggling,the official trial of this case in September 2017 concluded that Bui Quang Huy had pleaded guilty to illegal smuggling.,5,doc5_chunk007
Viettel,DIRECTED,Bui Quang Huy,Mr. Huy said that he 'worked under the direction of his employer. Viettel asked him to buy this engine and send it back to Vietnam.',5,doc5_chunk007
Bui Quang Huy,FIRED_BY,Viettel,This employee was fired by Viettel a few weeks earlier.,5,doc5_chunk007
Viettel,CONDUCTED_INQUIRY,US FCC,Viettel's internal investigation sent to the US FCC concluded that Bui Quang Huy's acts of smuggling military equipment were entirely his own initiative.,5,doc5_chunk007
